id,project_name,project_id,status,result,assigned_at,completed_at,price (USD)
1074200,MyReads: A Book Lending App,302,completed,passed,2018-03-06T17:29:21Z,2018-03-06T19:40:41Z,15.0
1076935,MyReads: A Book Lending App,302,completed,failed,2018-03-07T21:02:31Z,2018-03-08T00:14:56Z,15.0
1080111,MyReads: A Book Lending App,302,completed,passed,2018-03-09T13:29:14Z,2018-03-09T15:47:43Z,15.0
1082183,MyReads: A Book Lending App,302,completed,failed,2018-03-10T14:07:49Z,2018-03-10T16:10:41Z,15.0
1083446,MyReads: A Book Lending App,302,completed,passed,2018-03-11T03:14:51Z,2018-03-11T05:49:13Z,15.0
1084582,MyReads: A Book Lending App,302,completed,failed,2018-03-11T16:32:12Z,2018-03-11T21:04:06Z,15.0
1091696,Feed Reader Testing,18,completed,failed,2018-03-14T13:50:56Z,2018-03-14T16:20:58Z,7.5
1091772,Feed Reader Testing,18,completed,failed,2018-03-14T14:30:51Z,2018-03-14T17:18:22Z,7.5
1091860,Feed Reader Testing,18,completed,failed,2018-03-14T15:16:22Z,2018-03-14T16:49:28Z,7.5
1093651,Feed Reader Testing,18,completed,failed,2018-03-15T10:51:56Z,2018-03-15T14:48:11Z,7.5
1094059,Feed Reader Testing,18,completed,passed,2018-03-15T15:01:10Z,2018-03-15T16:24:44Z,7.5
1094325,Feed Reader Testing,18,completed,failed,2018-03-15T17:27:04Z,2018-03-15T18:54:40Z,7.5
1094525,Feed Reader Testing,18,completed,failed,2018-03-15T19:31:17Z,2018-03-15T20:38:32Z,7.5
1095642,Feed Reader Testing,18,completed,failed,2018-03-16T09:51:53Z,2018-03-16T15:48:00Z,7.5
1096131,MyReads: A Book Lending App,302,completed,failed,2018-03-16T15:56:36Z,2018-03-17T02:55:06Z,15.0
1096625,MyReads: A Book Lending App,302,completed,failed,2018-03-16T21:36:02Z,2018-03-17T03:27:54Z,15.0
1098907,MyReads: A Book Lending App,302,completed,failed,2018-03-18T04:15:47Z,2018-03-18T15:01:04Z,15.0
1098986,MyReads: A Book Lending App,302,completed,failed,2018-03-18T05:40:19Z,2018-03-18T15:50:59Z,15.0
1099068,MyReads: A Book Lending App,302,completed,failed,2018-03-18T06:59:36Z,2018-03-18T14:29:54Z,15.0
1100886,MyReads: A Book Lending App,302,completed,failed,2018-03-18T23:53:50Z,2018-03-19T03:41:43Z,15.0
1101998,Feed Reader Testing,18,completed,failed,2018-03-19T12:39:21Z,2018-03-19T18:13:14Z,7.5
1102190,MyReads: A Book Lending App,302,completed,failed,2018-03-19T14:33:02Z,2018-03-19T18:57:46Z,15.0
1102657,MyReads: A Book Lending App,302,completed,passed,2018-03-19T18:25:18Z,2018-03-19T19:10:27Z,15.0
1104795,Feed Reader Testing,18,completed,passed,2018-03-20T14:31:53Z,2018-03-20T14:49:40Z,7.5
1105035,MyReads: A Book Lending App,302,completed,passed,2018-03-20T16:34:12Z,2018-03-20T20:53:26Z,15.0
1109733,MyReads: A Book Lending App,302,completed,passed,2018-03-22T17:01:39Z,2018-03-22T20:48:22Z,15.0
1112442,MyReads: A Book Lending App,302,completed,passed,2018-03-23T23:32:23Z,2018-03-24T04:59:58Z,15.0
1112585,MyReads: A Book Lending App,302,completed,passed,2018-03-24T02:02:33Z,2018-03-24T12:16:22Z,15.0
1115229,Feed Reader Testing,18,completed,passed,2018-03-25T13:03:48Z,2018-03-25T16:01:13Z,7.5
1115357,MyReads: A Book Lending App,302,completed,failed,2018-03-25T14:32:34Z,2018-03-25T15:55:10Z,15.0
1117552,Feed Reader Testing,18,completed,failed,2018-03-26T14:20:29Z,2018-03-26T15:33:06Z,7.5
1118646,Feed Reader Testing,18,completed,failed,2018-03-26T22:50:10Z,2018-03-26T23:17:17Z,7.5
1119976,Feed Reader Testing,18,completed,failed,2018-03-27T15:21:42Z,2018-03-27T18:19:53Z,7.5
1124516,MyReads: A Book Lending App,302,completed,failed,2018-03-29T18:48:50Z,2018-03-30T03:45:56Z,15.0
